dt_time,t_tek,Po,P,U,Wind_dir,wind_speed,ff10,ff3,Tn,Tx,VV,Td,tR,Tg,"snow,cm",precipitation
08.10.2025 21:00,11.0,747.4,765.4,86.0,CALM,0.0,,,,15.4,10,8.8,12.0,,,0
08.10.2025 18:00,12.9,747.4,765.3,73.0,CALM,0.0,,,,,20,8.1,12.0,,,0
08.10.2025 15:00,15.2,747.6,765.3,65.0,NNE,2.0,,,,,20,8.7,,,,0
08.10.2025 12:00,14.0,748.8,766.6,69.0,ESE,1.0,,,,,10,8.3,,,,0
08.10.2025 09:00,10.0,748.8,766.9,94.0,NNE,1.0,,,9.0,,4,9.0,12.0,9.0,,0
08.10.2025 06:00,9.6,748.7,766.8,95.0,NNE,1.0,,,9.6,,4,8.8,12.0,,,0
08.10.2025 03:00,10.1,749.0,767.2,95.0,CALM,0.0,,,,,4,9.3,,,,0
08.10.2025 00:00,10.4,749.0,767.1,94.0,N,1.0,,,,,4,9.4,,,,0
07.10.2025 21:00,10.7,748.9,766.9,92.0,CALM,0.0,,,,15.6,4,9.4,12.0,,,0
07.10.2025 18:00,12.1,748.6,766.6,85.0,CALM,0.0,,,,,10,9.7,12.0,,,0
07.10.2025 15:00,14.2,748.5,766.3,71.0,NNE,1.0,,,,,10,9.0,,,,0
07.10.2025 12:00,12.9,748.2,766.0,82.0,CALM,0.0,,,,,10,9.8,,,,0
07.10.2025 09:00,7.7,747.8,766.0,98.0,CALM,0.0,,,6.7,,0.5,7.4,12.0,6.0,,0
07.10.2025 06:00,7.0,747.0,765.3,98.0,CALM,0.0,,,6.7,,0.5,6.7,12.0,,,0
07.10.2025 03:00,8.7,746.8,764.9,97.0,CALM,0.0,,,,,2,8.3,,,,0
07.10.2025 00:00,9.5,746.5,764.5,96.0,CALM,0.0,,,,,4,8.9,,,,0
06.10.2025 21:00,10.0,745.7,763.7,95.0,CALM,0.0,,,,14.8,4,9.2,12.0,,,0
06.10.2025 18:00,11.7,745.0,763.0,85.0,SSW,1.0,,,,,10,9.2,12.0,,,0
06.10.2025 15:00,13.3,744.1,761.9,72.0,SSW,1.0,,,,,,8.4,,,,0
06.10.2025 12:00,14.1,743.2,760.9,72.0,SSW,1.0,,,,,10,9.1,,,,0
06.10.2025 09:00,10.0,741.5,759.5,98.0,S,1.0,,,6.8,,1,9.7,12.0,4.0,,0
06.10.2025 06:00,14.1,743.2,760.9,72.0,SSW,1.0,,,,,10,9.1,,,,0
06.10.2025 03:00,7.6,740.8,758.8,98.0,S,1.0,,,,,2,7.3,,,,1
06.10.2025 00:00,9.5,740.5,758.4,97.0,S,1.0,,,,,4,9.0,,,,1
05.10.2025 21:00,11.7,740.2,758.0,91.0,S,1.0,,,,12.7,4,10.3,12.0,,,0
05.10.2025 18:00,12.2,739.6,757.3,89.0,SE,1.0,,,,,10,10.5,12.0,,,0
05.10.2025 15:00,12.5,739.5,757.2,82.0,SE,2.0,,,,,10,9.5,,,,1
05.10.2025 12:00,9.0,740.2,758.1,93.0,SE,1.0,,,,,4,7.9,,,,1
05.10.2025 09:00,7.3,740.6,758.7,88.0,SE,2.0,,,7.3,,4,5.5,12.0,6.0,,1
05.10.2025 06:00,8.9,741.1,759.1,65.0,SE,1.0,,,8.5,,10,2.5,12.0,,,1
05.10.2025 03:00,9.7,742.4,760.4,63.0,SE,1.0,,,,,10,2.9,,,,0
05.10.2025 00:00,10.5,744.0,762.0,53.0,SE,1.0,,,,,10,1.2,,,,0
04.10.2025 21:00,9.1,745.8,763.9,61.0,CALM,0.0,,,,17.8,10,2.0,12.0,,,0
04.10.2025 18:00,13.5,746.8,764.6,41.0,SE,1.0,,10.0,,,20,0.3,12.0,,,0
