dt_time,t_tek,Po,P,U,Wind_dir,wind_speed,ff10,ff3,Tn,Tx,VV,Td,tR,Tg,"snow,cm",precipitation
08.10.2025 21:00,12.3,747.2,764.8,84.0,E,2.0,,,,15.5,20,9.6,12.0,,,1
08.10.2025 18:00,14.0,747.4,764.8,74.0,NE,2.0,,,,,20,9.4,12.0,,,0
08.10.2025 15:00,,747.6,764.9,,,,,,,,20,9.7,,,,0
08.10.2025 12:00,14.3,748.7,766.2,73.0,E,2.0,,,,,20,9.4,,,,0
08.10.2025 09:00,11.9,748.8,766.4,81.0,ENE,1.0,,,10.7,,20,8.8,12.0,10.0,,0
08.10.2025 06:00,10.9,748.8,766.5,86.0,NE,1.0,,,10.7,,20,8.6,12.0,,,0
08.10.2025 03:00,11.3,749.0,766.6,85.0,ENE,1.0,,,,,20,8.8,,,,0
08.10.2025 00:00,11.4,749.1,766.8,85.0,NE,1.0,,,,,20,8.9,,,,0
07.10.2025 21:00,10.8,749.2,766.9,95.0,CALM,0.0,,,,15.0,20,10.1,12.0,,,1
07.10.2025 18:00,12.3,749.0,766.6,81.0,S,2.0,,,,,20,9.1,12.0,,,0
07.10.2025 15:00,14.6,748.8,766.2,67.0,E,1.0,,,,,20,8.4,,,,0
07.10.2025 12:00,13.5,748.3,765.8,75.0,NNE,1.0,,,,,20,9.1,,,,0
07.10.2025 09:00,18.2,745.3,762.4,92.0,CALM,0.0,,,15.8,,10,16.8,12.0,16.0,,0
07.10.2025 06:00,14.9,751.2,768.7,83.0,NNE,1.0,,,13.8,,20,12.0,12.0,,,0
07.10.2025 03:00,15.2,751.3,768.7,78.0,NNE,1.0,,,,,20,11.3,,,,0
07.10.2025 00:00,15.1,750.9,768.4,77.0,CALM,0.0,,,,,20,11.0,,,,0
06.10.2025 21:00,15.5,751.0,768.4,69.0,NE,1.0,,,,22.4,20,9.8,12.0,,,0
06.10.2025 18:00,19.6,750.2,767.4,52.0,NNE,2.0,,,,,20,9.4,12.0,,,0
06.10.2025 15:00,21.2,750.4,767.5,49.0,NNE,3.0,,,,,20,10.1,,,,0
06.10.2025 12:00,11.7,744.2,761.7,88.0,SW,1.0,,,,,4,9.8,,,,0
06.10.2025 09:00,9.8,743.2,760.8,98.0,S,1.0,,,8.1,,4,9.5,12.0,7.0,,0
06.10.2025 06:00,9.2,742.1,759.7,99.0,SW,1.0,,,8.1,,2,9.0,12.0,,,0
06.10.2025 03:00,8.7,741.5,759.1,98.0,S,2.0,,,,,2,8.4,,,,0
06.10.2025 00:00,9.5,740.9,758.5,98.0,S,1.0,,,,,4,9.2,,,,0
05.10.2025 21:00,10.2,740.5,758.0,97.0,SSE,1.0,,,,14.8,20,9.8,12.0,,,1
05.10.2025 18:00,13.2,739.3,756.7,88.0,ESE,2.0,,,,,,11.3,12.0,,,0
05.10.2025 15:00,13.7,739.3,756.7,84.0,SE,3.0,,,,,20,11.0,,,,1
05.10.2025 12:00,9.5,740.1,757.6,99.0,SE,3.0,,,,,20,9.3,,,,1
05.10.2025 09:00,8.7,740.4,758.0,82.0,SSE,2.0,,,8.7,,10,5.7,12.0,8.0,,0
05.10.2025 06:00,11.3,740.8,758.2,52.0,SE,2.0,,,10.6,,20,1.8,12.0,,,0
05.10.2025 03:00,11.0,741.9,759.4,58.0,SE,2.0,,,,,20,2.9,,,,0
05.10.2025 00:00,12.9,743.4,760.9,40.0,SE,3.0,,,,,20,-0.5,,,,0
04.10.2025 21:00,12.8,745.2,762.7,42.0,ESE,3.0,,,,18.1,20,0.0,12.0,,,0
04.10.2025 18:00,15.1,746.3,763.7,36.0,ESE,3.0,,11.0,,,20,0.0,12.0,,,0
04.10.2025 15:00,17.9,747.7,764.9,25.0,SE,5.0,,12.0,,,20,-2.7,,,,0
04.10.2025 12:00,15.1,750.0,767.5,36.0,SE,5.0,10.0,10.0,,,20,0.0,,,,0
04.10.2025 09:00,8.6,751.6,769.5,58.0,SE,3.0,,,1.5,,20,0.7,12.0,0.0,,0
04.10.2025 06:00,4.7,752.2,770.4,67.0,SE,2.0,,,1.5,,20,-0.9,12.0,,,0
04.10.2025 03:00,2.7,752.6,770.9,78.0,E,1.0,,,,,20,-0.8,,,,0
04.10.2025 00:00,4.1,753.1,771.4,70.0,NE,1.0,,,,,20,-1.0,,,,0
03.10.2025 21:00,9.5,753.4,771.3,40.0,E,2.0,,,,14.7,20,-3.4,12.0,,,0
03.10.2025 18:00,11.8,753.3,771.1,39.0,E,2.0,,,,,20,-1.7,12.0,,,0
03.10.2025 15:00,13.8,753.5,771.1,38.0,ESE,3.0,,,,,20,-0.3,,,,0
03.10.2025 12:00,12.2,753.6,771.4,43.0,ESE,2.0,,,,,20,-0.1,,,,0
03.10.2025 09:00,7.7,753.7,771.7,51.0,ESE,2.0,,,5.5,,20,-1.8,12.0,3.0,,0
03.10.2025 06:00,5.7,752.8,771.0,57.0,SE,2.0,,,5.5,,20,-2.3,12.0,,,0
03.10.2025 03:00,6.8,752.5,770.5,52.0,ESE,3.0,,,,,20,-2.6,,,,0
03.10.2025 00:00,8.2,752.8,770.8,52.0,ENE,1.0,,,,,20,-1.2,,,,0
02.10.2025 21:00,8.3,752.8,770.8,55.0,E,1.0,,,,11.0,20,-0.2,12.0,,,0
02.10.2025 18:00,9.9,752.7,770.6,42.0,NE,2.0,,,,,20,-2.5,12.0,,,0
02.10.2025 15:00,10.6,753.1,770.9,35.0,ESE,3.0,,,,,20,-4.4,,,,0
02.10.2025 12:00,10.0,753.4,771.4,38.0,ESE,3.0,,,,,20,-3.7,,,,0
02.10.2025 09:00,5.9,753.7,771.9,62.0,E,1.0,,,4.0,,20,-0.9,12.0,4.0,,0
02.10.2025 06:00,4.3,753.7,772.0,68.0,ENE,1.0,,,4.3,,20,-1.1,12.0,,,0
02.10.2025 03:00,5.1,753.7,772.0,66.0,ENE,1.0,,,,,20,-0.7,,,,0
02.10.2025 00:00,6.4,754.3,772.4,63.0,ENE,1.0,,,,,20,-0.3,,,,0
01.10.2025 21:00,7.8,754.7,772.8,59.0,ENE,1.0,,,,12.2,20,0.3,12.0,,,0
01.10.2025 18:00,9.5,755.0,773.0,48.0,NE,1.0,,,,,20,-1.0,12.0,,,0
01.10.2025 15:00,11.7,755.8,773.6,39.0,E,2.0,,,,,20,-1.9,,,,0
01.10.2025 12:00,10.0,756.9,774.8,46.0,E,3.0,,,,,20,-1.3,,,,0
01.10.2025 09:00,4.6,757.6,776.0,71.0,NE,1.0,,,-0.3,,20,-0.2,12.0,0.0,,0
01.10.2025 06:00,0.3,757.5,776.1,89.0,NNE,2.0,,,0.3,,20,-1.3,12.0,,,0
01.10.2025 03:00,1.5,757.9,776.5,85.0,CALM,0.0,,,,,20,-0.7,,,,0
01.10.2025 00:00,2.2,758.2,776.7,82.0,NE,1.0,,,,,20,-0.6,,,,0
30.09.2025 21:00,4.5,758.0,776.4,72.0,NE,1.0,,,,10.8,20,-0.1,12.0,,,0
30.09.2025 18:00,7.6,757.9,776.1,57.0,ENE,2.0,,,,,20,-0.5,12.0,,,0
30.09.2025 15:00,10.4,758.2,776.2,45.0,E,2.0,,,,,20,-1.0,,,,0
30.09.2025 12:00,9.4,758.5,776.6,51.0,ENE,3.0,,,,,20,-0.2,,,,0
30.09.2025 09:00,5.4,758.2,776.5,71.0,E,3.0,,,3.7,,20,0.5,12.0,4.0,,0
30.09.2025 06:00,4.2,757.5,775.9,81.0,ENE,2.0,,,4.2,,20,1.2,12.0,,,0
30.09.2025 03:00,4.8,757.2,775.5,83.0,NE,2.0,,,,,20,2.1,,,,0
30.09.2025 00:00,5.7,757.0,775.3,86.0,E,2.0,,,,,20,3.5,,,,0
29.09.2025 21:00,6.7,756.7,774.8,84.0,E,3.0,,,,7.0,20,4.2,12.0,,,0
29.09.2025 18:00,6.5,755.7,773.8,89.0,E,3.0,,,,,20,4.8,12.0,,,0
29.09.2025 15:00,6.9,755.5,773.6,90.0,E,2.0,,,,,20,5.3,,,,0
29.09.2025 12:00,6.5,755.2,773.3,91.0,ENE,2.0,,,,,20,5.1,,,,0
29.09.2025 09:00,5.8,754.6,772.7,93.0,ENE,2.0,,,5.5,,4,4.8,12.0,7.0,,1
29.09.2025 06:00,5.7,753.8,772.0,95.0,ENE,2.0,,,5.7,,4,4.9,12.0,,,1
29.09.2025 03:00,6.0,753.4,771.5,96.0,ENE,2.0,,,,,4,5.4,,,,1
29.09.2025 00:00,6.4,753.1,771.1,95.0,ENE,2.0,,,,,4,5.7,,,,1
28.09.2025 21:00,7.3,752.3,770.3,95.0,ENE,2.0,,,,9.8,4,6.6,12.0,,,1
28.09.2025 18:00,8.3,751.0,768.9,95.0,NE,2.0,,,,,4,7.6,12.0,,,1
28.09.2025 15:00,9.6,750.4,768.2,90.0,ENE,1.0,,,,,4,8.0,,,,1
28.09.2025 12:00,9.2,750.0,767.8,96.0,NNE,1.0,,,,,4,8.6,,,,1
28.09.2025 09:00,8.4,749.7,767.5,98.0,CALM,0.0,,,7.6,,4,8.1,12.0,9.0,,1
28.09.2025 06:00,7.7,749.5,767.5,98.0,CALM,0.0,,,7.6,,20,7.4,12.0,,,1
