dt_time,t_tek,Po,P,U,Wind_dir,wind_speed,ff10,ff3,Tn,Tx,VV,Td,tR,Tg,"snow,cm",precipitation
21.09.2025 21:00,18.1,740.5,763.5,69.0,WSW,2.0,,,,23.4,10,12.3,12.0,,,0
21.09.2025 18:00,21.8,740.5,763.3,55.0,SW,2.0,,,,,50,12.4,12.0,,,0
21.09.2025 15:00,22.7,741.0,763.7,52.0,WSW,4.0,,10.0,,,50,12.2,,,,0
21.09.2025 12:00,19.6,741.9,764.9,57.0,SW,5.0,,,,,20,10.7,,,,0
21.09.2025 09:00,12.6,742.4,766.0,80.0,SW,2.0,,,7.6,,10,9.3,12.0,7.0,,0
21.09.2025 06:00,7.8,742.4,766.5,100.0,SW,1.0,,,7.6,,4,7.8,12.0,,,0
21.09.2025 03:00,8.5,742.7,766.7,92.0,WSW,1.0,,,,,10,7.2,,,,0
21.09.2025 00:00,10.2,742.8,766.6,83.0,W,3.0,,,,,10,7.4,,,,0
20.09.2025 21:00,10.2,742.1,766.0,78.0,WSW,2.0,,,,17.2,10,6.5,12.0,,,0
20.09.2025 18:00,15.3,741.5,764.9,53.0,NW,3.0,,,,,50,5.6,12.0,,,0
20.09.2025 15:00,16.6,741.0,764.2,48.0,NW,4.0,,10.0,,,50,5.4,,,,0
20.09.2025 12:00,15.5,740.3,763.6,66.0,NW,4.0,,,,,50,9.1,,,,0
20.09.2025 09:00,13.1,739.0,762.4,83.0,NW,4.0,,,11.9,,20,10.3,12.0,12.0,,1
20.09.2025 06:00,12.2,737.5,760.9,92.0,WNW,3.0,,,11.9,,10,11.0,12.0,,,1
20.09.2025 03:00,12.4,736.9,760.3,96.0,W,3.0,,,,,4,11.7,,,,1
20.09.2025 00:00,12.0,737.3,760.8,88.0,SSW,2.0,,,,,10,10.1,,,,0
19.09.2025 21:00,13.0,738.4,761.8,84.0,WSW,2.0,,10.0,,18.6,10,10.4,12.0,,,1
19.09.2025 18:00,16.6,738.4,761.8,55.0,WSW,3.0,,,,,50,7.4,12.0,,,1
19.09.2025 15:00,18.3,738.8,761.8,42.0,W,4.0,,,,,50,5.0,,,,0
19.09.2025 12:00,16.3,739.6,762.9,56.0,W,3.0,,,,,50,7.5,,,,0
19.09.2025 09:00,12.6,739.8,763.3,77.0,NW,3.0,,,10.8,,20,8.7,12.0,11.0,,0
19.09.2025 06:00,11.1,739.4,763.1,88.0,NW,2.0,,,11.1,,10,9.1,12.0,,,0
19.09.2025 03:00,11.8,739.1,762.7,79.0,N,1.0,,,,,10,8.2,,,,0
19.09.2025 00:00,13.0,739.4,762.9,69.0,NNW,3.0,,,,,10,7.4,,,,0
18.09.2025 21:00,15.1,739.1,762.4,47.0,SE,1.0,,,,21.6,10,3.7,12.0,,,0
18.09.2025 18:00,17.6,738.1,761.2,41.0,S,3.0,,,,,50,4.0,12.0,,,0
